Algorithm,Sweep,Direction,Final Error (px),Duration (s),Result,Min Dist (px),Time to Catch (s),Dwell (frames),Dwell (s),Post-hit Err (px)
CLASSIC,1,L to R,57,2.08,ESCAPED,45,,0,0.0,
CLASSIC,2,R to L,51,1.86,ESCAPED,41,,0,0.0,
CLASSIC,3,L to R,54,2.03,ESCAPED,40,,0,0.0,
CLASSIC,4,R to L,51,1.95,ESCAPED,35,,0,0.0,
CLASSIC,5,L to R,55,1.36,ESCAPED,51,,0,0.0,
CLASSIC,6,R to L,51,1.36,ESCAPED,44,,0,0.0,
CLASSIC,7,L to R,54,1.56,ESCAPED,39,,0,0.0,
CLASSIC,8,R to L,52,1.4,ESCAPED,43,,0,0.0,
CLASSIC,9,L to R,55,1.36,ESCAPED,51,,0,0.0,
CLASSIC,10,R to L,50,1.36,ESCAPED,43,,0,0.0,
Q-TABLE,1,L to R,0,1.98,CATCH,4,1.69,1,0.065,37.3
Q-TABLE,2,R to L,0,1.97,CATCH,12,1.55,1,0.066,37.7
Q-TABLE,3,L to R,55,1.91,ESCAPED,50,,0,0.0,
Q-TABLE,4,R to L,0,1.76,CATCH,10,0.97,3,0.159,38.3
Q-TABLE,5,L to R,0,1.97,CATCH,14,1.17,1,0.068,36.2
Q-TABLE,6,R to L,0,1.56,CATCH,17,1.13,0,0.0,79.6
Q-TABLE,7,L to R,0,1.5,CATCH,12,1.35,3,0.113,13.6
Q-TABLE,8,R to L,0,1.6,CATCH,7,0.97,1,0.034,41.8
Q-TABLE,9,L to R,41,1.6,ESCAPED,37,,0,0.0,
Q-TABLE,10,R to L,0,1.43,CATCH,8,1.06,2,0.066,39.4
B-kh0.40,1,L to R,0,1.68,CATCH,4,1.08,7,0.318,13.2
B-kh0.40,2,R to L,0,1.47,CATCH,4,1.1,9,0.336,8.6
B-kh0.40,3,L to R,0,1.4,CATCH,8,0.93,5,0.166,17.0
B-kh0.40,4,R to L,0,1.7,CATCH,5,1.03,9,0.48,13.5
B-kh0.40,5,L to R,0,1.43,CATCH,1,0.96,8,0.266,12.3
B-kh0.40,6,R to L,0,1.46,CATCH,1,1.16,6,0.201,11.6
B-kh0.40,7,L to R,0,1.46,CATCH,1,0.96,8,0.334,12.3
B-kh0.40,8,R to L,0,1.6,CATCH,2,1.1,9,0.429,9.3
B-kh0.40,9,L to R,0,1.43,CATCH,9,0.93,1,0.033,38.2
B-kh0.40,10,R to L,0,1.43,CATCH,10,0.96,5,0.199,14.8
B-kh0.40,11,L to R,0,1.43,CATCH,6,0.96,3,0.099,24.2
B-kh0.40,12,R to L,0,1.46,CATCH,2,1.0,11,0.434,10.4
B-kh0.40,13,L to R,0,1.43,CATCH,4,0.86,1,0.033,31.1
B-kh0.40,14,R to L,0,1.6,CATCH,9,1.03,4,0.223,18.1
B-kh0.40,15,L to R,0,1.6,CATCH,2,0.93,9,0.363,13.5
B-kh0.40,16,R to L,0,1.43,CATCH,6,0.93,10,0.366,12.0
B-kh0.40,17,L to R,0,1.53,CATCH,2,1.0,1,0.033,39.7
B-kh0.40,18,R to L,0,1.56,CATCH,5,1.19,8,0.334,10.5
B-kh0.40,19,L to R,0,1.46,CATCH,3,0.83,8,0.365,13.0
B-kh0.40,20,R to L,0,1.43,CATCH,4,1.13,7,0.232,11.5
B-kh0.40,21,L to R,0,1.33,CATCH,8,0.9,9,0.3,14.2
B-kh0.40,22,R to L,0,1.43,CATCH,2,1.03,9,0.3,11.1
B-kh0.40,23,L to R,0,1.43,CATCH,10,0.83,7,0.293,15.9
B-kh0.40,24,R to L,0,1.6,CATCH,1,1.1,10,0.397,11.9
B-kh0.40,25,L to R,0,1.66,CATCH,14,1.03,1,0.065,43.5
B-kh0.40,26,R to L,0,1.51,CATCH,5,1.14,9,0.334,9.2
B-kh0.40,27,L to R,0,1.59,CATCH,7,0.93,10,0.432,14.5
B-kh0.40,28,R to L,0,1.53,CATCH,3,1.2,9,0.3,9.8
B-kh0.40,29,L to R,0,1.37,CATCH,2,0.83,11,0.387,10.8
B-kh0.40,30,R to L,0,1.63,CATCH,7,1.1,3,0.133,30.6
B-kh0.60,1,L to R,0,1.72,CATCH,7,1.16,9,0.399,14.1
B-kh0.60,2,R to L,0,1.36,CATCH,4,1.03,9,0.299,11.1
B-kh0.60,3,L to R,0,1.56,CATCH,5,1.0,15,0.507,10.3
B-kh0.60,4,R to L,0,1.46,CATCH,6,1.0,5,0.231,15.6
B-kh0.60,5,L to R,0,1.6,CATCH,6,0.93,14,0.533,12.2
B-kh0.60,6,R to L,0,1.63,CATCH,5,1.03,7,0.299,16.2
B-kh0.60,7,L to R,0,2.26,CATCH,4,1.23,16,0.83,10.7
B-kh0.60,8,R to L,0,1.63,CATCH,5,1.2,7,0.299,12.7
B-kh0.60,9,L to R,0,1.5,CATCH,1,0.96,12,0.464,8.5
B-kh0.60,10,R to L,0,1.56,CATCH,2,1.13,8,0.299,12.1
B-kh0.60,11,L to R,0,1.5,CATCH,2,1.0,5,0.166,26.2
B-kh0.60,12,R to L,0,1.4,CATCH,2,1.0,9,0.365,8.7
B-kh0.60,13,L to R,0,1.62,CATCH,7,0.99,1,0.035,34.1
B-kh0.60,14,R to L,0,1.43,CATCH,2,1.16,7,0.233,9.0
B-kh0.60,15,L to R,0,1.76,CATCH,4,1.13,8,0.404,11.5
B-kh0.60,16,R to L,0,1.36,CATCH,7,1.0,3,0.1,19.1
B-kh0.60,17,L to R,0,1.66,CATCH,3,1.0,12,0.499,12.3
B-kh0.60,18,R to L,0,1.46,CATCH,5,1.0,11,0.4,11.1
B-kh0.60,19,L to R,0,1.47,CATCH,4,0.9,4,0.133,30.5
B-kh0.60,20,R to L,0,1.5,CATCH,1,1.0,8,0.298,14.2
B-kh0.60,21,L to R,0,1.63,CATCH,7,0.97,8,0.359,17.7
B-kh0.60,22,R to L,0,1.66,CATCH,5,1.03,4,0.229,17.1
B-kh0.60,23,L to R,0,1.46,CATCH,10,1.06,2,0.066,43.5
B-kh0.60,24,R to L,0,1.46,CATCH,8,1.03,5,0.231,16.2
B-kh0.60,25,L to R,0,1.46,CATCH,6,1.03,3,0.099,25.4
B-kh0.60,26,R to L,0,1.5,CATCH,6,1.03,8,0.266,12.0
B-kh0.60,27,L to R,0,1.63,CATCH,6,0.93,6,0.298,15.9
B-kh0.60,28,R to L,0,1.33,CATCH,8,0.96,3,0.1,19.6
B-kh0.60,29,L to R,0,1.83,CATCH,6,1.16,10,0.495,13.4
B-kh0.60,30,R to L,0,1.63,CATCH,8,0.93,5,0.244,22.3
B-bbonly,1,L to R,0,1.75,CATCH,15,1.09,0,0.0,38.3
B-bbonly,2,R to L,0,1.43,CATCH,3,0.67,2,0.067,42.9
B-bbonly,3,L to R,0,1.53,CATCH,10,0.9,2,0.097,39.9
B-bbonly,4,R to L,0,1.37,CATCH,10,0.63,3,0.125,39.5
B-bbonly,5,L to R,0,1.56,CATCH,4,0.9,1,0.064,30.1
B-bbonly,6,R to L,0,1.43,CATCH,19,0.66,0,0.0,51.6
B-bbonly,7,L to R,0,1.7,CATCH,8,1.0,6,0.233,17.4
B-bbonly,8,R to L,0,1.46,CATCH,2,0.7,1,0.034,44.5
B-bbonly,9,L to R,0,1.6,CATCH,15,0.79,0,0.0,38.3
B-bbonly,10,R to L,0,1.66,CATCH,7,0.67,5,0.228,24.8
B-bbonly,11,L to R,0,1.56,CATCH,14,0.83,1,0.066,32.3
B-bbonly,12,R to L,0,1.8,CATCH,9,0.8,3,0.156,28.1
B-bbonly,13,L to R,0,1.73,CATCH,1,0.83,13,0.601,12.7
B-bbonly,14,R to L,0,1.8,CATCH,3,0.7,7,0.307,25.8
B-bbonly,15,L to R,0,1.57,CATCH,10,0.96,2,0.075,37.3
B-bbonly,16,R to L,0,2.06,CATCH,7,1.0,4,0.222,27.5
B-bbonly,17,L to R,0,1.69,CATCH,9,1.0,3,0.099,30.5
B-bbonly,18,R to L,0,1.9,CATCH,7,0.77,4,0.203,26.0
B-bbonly,19,L to R,0,1.77,CATCH,3,0.83,3,0.192,31.8
B-bbonly,20,R to L,0,1.56,CATCH,14,0.7,1,0.033,38.5
B-bbonly,21,L to R,0,1.83,CATCH,7,1.0,4,0.258,28.2
B-bbonly,22,R to L,0,1.86,CATCH,4,0.77,15,0.692,14.1
B-bbonly,23,L to R,0,2.36,CATCH,2,0.8,13,0.922,14.6
B-bbonly,24,R to L,0,2.26,CATCH,5,1.06,6,0.31,27.4
B-bbonly,25,L to R,0,2.11,CATCH,11,0.95,2,0.129,31.8
B-bbonly,26,R to L,0,2.06,CATCH,8,1.0,3,0.168,36.7
B-bbonly,27,L to R,0,2.24,CATCH,5,1.02,4,0.265,21.4
B-bbonly,28,R to L,0,1.86,CATCH,12,0.73,3,0.174,33.5
B-bbonly,29,L to R,0,2.1,CATCH,9,0.73,1,0.076,27.5
B-bbonly,30,R to L,0,2.3,CATCH,4,1.08,6,0.398,31.4
B-kh0.40r,1,L to R,0,2.11,CATCH,7,1.28,8,0.389,15.9
B-kh0.40r,2,R to L,0,2.06,CATCH,4,1.32,9,0.507,13.7
B-kh0.40r,3,L to R,0,2.27,CATCH,5,1.16,13,0.693,16.0
B-kh0.40r,4,R to L,0,1.64,CATCH,8,1.14,2,0.069,32.3
B-kh0.40r,5,L to R,0,2.2,CATCH,4,1.0,12,0.769,13.4
B-kh0.40r,6,R to L,0,2.06,CATCH,1,1.13,11,0.611,11.1
B-kh0.40r,7,L to R,0,2.25,CATCH,3,1.42,10,0.535,12.2
B-kh0.40r,8,R to L,0,2.04,CATCH,2,1.07,11,0.614,12.2
B-kh0.40r,9,L to R,0,1.96,CATCH,1,1.03,15,0.863,9.7
B-kh0.40r,10,R to L,0,2.02,CATCH,4,1.32,4,0.221,16.2
B-kh0.40r,11,L to R,0,2.26,CATCH,4,1.43,6,0.333,14.4
B-kh0.40r,12,R to L,0,2.04,CATCH,2,1.37,9,0.5,11.0
B-kh0.40r,13,L to R,0,2.16,CATCH,5,1.03,10,0.666,13.1
B-kh0.40r,14,R to L,0,2.13,CATCH,3,1.65,9,0.549,8.9
B-kh0.40r,15,L to R,0,1.96,CATCH,1,0.9,12,0.715,13.3
B-kh0.40r,16,R to L,0,2.29,CATCH,2,1.2,10,0.642,12.0
B-kh0.40r,17,L to R,0,2.16,CATCH,4,1.05,13,0.833,13.8
B-kh0.40r,18,R to L,0,2.03,CATCH,1,1.46,11,0.53,9.9
B-kh0.40r,19,L to R,0,2.02,CATCH,1,1.15,8,0.361,15.8
B-kh0.40r,20,R to L,0,1.63,CATCH,1,1.1,7,0.232,14.1
B-kh0.40r,21,L to R,0,1.53,CATCH,3,0.93,8,0.4,12.1
B-kh0.40r,22,R to L,0,1.46,CATCH,7,1.06,7,0.301,13.6
B-kh0.40r,23,L to R,0,1.57,CATCH,4,0.96,11,0.431,12.2
B-kh0.40r,24,R to L,0,1.4,CATCH,14,0.97,2,0.068,17.9
B-kh0.40r,25,L to R,0,1.56,CATCH,10,0.97,2,0.09,29.0
B-kh0.40r,26,R to L,0,1.5,CATCH,2,1.04,6,0.296,11.5
B-kh0.40r,27,L to R,0,1.73,CATCH,5,0.93,13,0.664,12.8
B-kh0.40r,28,R to L,0,1.6,CATCH,6,1.1,11,0.366,12.8
B-kh0.40r,29,L to R,0,1.4,CATCH,7,0.87,14,0.492,11.9
B-kh0.40r,30,R to L,0,1.54,CATCH,6,0.93,12,0.572,10.9
